"","symbol","date","open","high","low","close","volume","adjusted"
"1","MMM",2024-11-18,129.779998779297,130.380004882812,128.570007324219,130.169998168945,2433000,130.169998168945
"2","AOS",2024-11-18,72,72.629997253418,71.6399993896484,72.1500015258789,801700,72.1500015258789
"3","ABT",2024-11-18,115.580001831055,117.940002441406,115.51000213623,117.360000610352,6086500,117.360000610352
"4","ABBV",2024-11-18,165.619995117188,166.740005493164,164.800003051758,166.279998779297,8336900,166.279998779297
"5","ACN",2024-11-18,353.570007324219,355.5,351.820007324219,352.790008544922,1759900,352.790008544922
"6","ADBE",2024-11-18,505,505.510009765625,497.690002441406,499.510009765625,2259000,499.510009765625
"7","AMD",2024-11-18,138.190002441406,140.899993896484,137.210006713867,138.929992675781,38705400,138.929992675781
"8","AES",2024-11-18,13.8599996566772,13.9300003051758,13.7299995422363,13.7399997711182,8499600,13.7399997711182
"9","AFL",2024-11-18,111.319999694824,112.25,111.069999694824,112.040000915527,1850400,112.040000915527
"10","A",2024-11-18,126.919998168945,128.089996337891,126.01000213623,126.919998168945,1445000,126.919998168945
"11","APD",2024-11-18,320.579986572266,328.089996337891,319.589996337891,327.890014648438,1898400,327.890014648438
"12","ABNB",2024-11-18,132.559997558594,133.449996948242,131.580001831055,132.190002441406,4507400,132.190002441406
"13","AKAM",2024-11-18,87.4300003051758,88.1800003051758,85.5899963378906,85.9599990844727,2424700,85.9599990844727
"14","ALB",2024-11-18,103.129997253418,104.919998168945,102.230003356934,104.029998779297,1698700,104.029998779297
"15","ARE",2024-11-18,104.919998168945,105.300003051758,103.680000305176,105.220001220703,1744500,105.220001220703
"16","ALGN",2024-11-18,223.830001831055,231.860000610352,223.190002441406,229.899993896484,940300,229.899993896484
"17","ALLE",2024-11-18,139.240005493164,139.660003662109,138.350006103516,138.639999389648,619700,138.639999389648
"18","LNT",2024-11-18,60.7900009155273,61.9300003051758,60.689998626709,61.810001373291,2047900,61.810001373291
"19","ALL",2024-11-18,196.619995117188,200.070007324219,196.380004882812,199.970001220703,1108700,199.970001220703
"20","GOOGL",2024-11-18,173.419998168945,175.440002441406,172.899993896484,175.300003051758,20135300,175.300003051758
"21","GOOG",2024-11-18,174.955001831055,176.910003662109,174.419998168945,176.800003051758,18662800,176.800003051758
"22","MO",2024-11-18,56.0299987792969,56.5499992370605,55.9799995422363,56.3400001525879,8718100,56.3400001525879
"23","AMZN",2024-11-18,204.149993896484,204.669998168945,200.949996948242,201.699996948242,36409900,201.699996948242
"24","AMCR",2024-11-18,10.2399997711182,10.2799997329712,10.1400003433228,10.1499996185303,7196500,10.1499996185303
"25","AMTM",2024-11-18,24.7900009155273,25.0599994659424,22.2399997711182,22.7700004577637,3096100,22.7700004577637
"26","AEE",2024-11-18,90.9800033569336,92.5699996948242,90.870002746582,92.3499984741211,1564000,92.3499984741211
"27","AEP",2024-11-18,96.3099975585938,97.379997253418,96.0999984741211,96.4899978637695,3399200,96.4899978637695
"28","AXP",2024-11-18,286.940002441406,287.519989013672,283.609985351562,285.540008544922,2074400,285.540008544922
"29","AIG",2024-11-18,75.5800018310547,76.5400009155273,75.4199981689453,76.3099975585938,3277400,76.3099975585938
"30","AMT",2024-11-18,194.649993896484,199.110000610352,194.130004882812,198.839996337891,2374200,198.839996337891
"31","AWK",2024-11-18,133.470001220703,136.889999389648,133.179992675781,136.669998168945,1372300,136.669998168945
"32","AMP",2024-11-18,561.719970703125,568.140014648438,560.869995117188,565.039978027344,533800,565.039978027344
"33","AME",2024-11-18,193.289993286133,193.320007324219,192.119995117188,193.240005493164,818800,193.240005493164
"34","AMGN",2024-11-18,279.380004882812,281.359985351562,276.559997558594,278.760009765625,3174600,278.760009765625
"35","APH",2024-11-18,70.5599975585938,70.7099990844727,69.1800003051758,69.879997253418,7200200,69.879997253418
"36","ADI",2024-11-18,206.520004272461,209.889999389648,206.110000610352,209.649993896484,3774000,209.649993896484
"37","ANSS",2024-11-18,335.309997558594,337.820007324219,331.690002441406,336.399993896484,422700,336.399993896484
"38","AON",2024-11-18,377,381,376.269989013672,380.510009765625,972000,380.510009765625
"39","APA",2024-11-18,22.6399993896484,22.9200000762939,22.3400001525879,22.4599990844727,5568200,22.4599990844727
"40","AAPL",2024-11-18,225.25,229.740005493164,225.169998168945,228.020004272461,44633700,228.020004272461
"41","AMAT",2024-11-18,167.679992675781,171.669998168945,166.850006103516,170.729995727539,8324400,170.729995727539
"42","APTV",2024-11-18,53.0999984741211,53.5,52.1699981689453,52.7099990844727,5193000,52.7099990844727
"43","ACGL",2024-11-18,96.5500030517578,97.1500015258789,95.75,96.9800033569336,2255800,96.9800033569336
"44","ADM",2024-11-18,53.4900016784668,53.7599983215332,52.6699981689453,52.7099990844727,2609900,52.7099990844727
"45","ANET",2024-11-18,379.899993896484,379.899993896484,369.260009765625,370.470001220703,2612100,370.470001220703
"46","AJG",2024-11-18,291.730010986328,295.609985351562,290.290008544922,293.589996337891,728100,293.589996337891
"47","AIZ",2024-11-18,218.190002441406,221.940002441406,217.789993286133,221.600006103516,502200,221.600006103516
"48","T",2024-11-18,22.7900009155273,23.2000007629395,22.7800006866455,22.9899997711182,35656400,22.9899997711182
"49","ATO",2024-11-18,145.330001831055,147.779998779297,145.070007324219,146.970001220703,1209900,146.970001220703
"50","ADSK",2024-11-18,299.359985351562,303.010009765625,297,302.049987792969,920100,302.049987792969
"51","ADP",2024-11-18,297.640014648438,299.839996337891,296.950012207031,297.890014648438,1075900,297.890014648438
