"","symbol","date","open","high","low","close","volume","adjusted"
"1","ADBE",2024-12-02,512.849975585938,518.77001953125,511.529998779297,516.200012207031,2006900,516.200012207031
"2","AMD",2024-12-02,137.919998168945,142.820007324219,137.800003051758,142.059997558594,33025300,142.059997558594
"3","ABNB",2024-12-02,136.009994506836,137.600006103516,135.690002441406,137.490005493164,3607400,137.490005493164
"4","GOOGL",2024-12-02,168.770004272461,172.080001831055,168.570007324219,171.490005493164,23781200,171.490005493164
"5","GOOG",2024-12-02,170.320007324219,173.600006103516,170.270004272461,172.979995727539,16589400,172.979995727539
"6","AMZN",2024-12-02,209.960006713867,212.990005493164,209.509994506836,210.710006713867,39478000,210.710006713867
"7","AEP",2024-12-02,99.9599990844727,100,97.7300033569336,98.2200012207031,2188300,98.2200012207031
"8","AMGN",2024-12-02,282.079986572266,282.390014648438,276.890014648438,278.100006103516,4676900,278.100006103516
"9","ADI",2024-12-02,218.130004882812,224.789993286133,217.009994506836,223.119995117188,3239300,223.119995117188
"10","ANSS",2024-12-02,349.010009765625,352.019989013672,347.730010986328,350.510009765625,460300,350.510009765625
"11","AAPL",2024-12-02,237.270004272461,240.789993286133,237.160003662109,239.589996337891,42439900,239.589996337891
"12","AMAT",2024-12-02,175.479995727539,184.270004272461,174.710006713867,183.270004272461,9097900,183.270004272461
"13","APP",2024-12-02,335.785003662109,347.600006103516,335.785003662109,340.589996337891,3804200,340.589996337891
"14","ARM",2024-12-02,134.199996948242,141.399993896484,134.199996948242,140.339996337891,5494300,140.339996337891
"15","ASML",2024-12-02,681.75,713.679992675781,680.700012207031,711.469970703125,2322200,711.469970703125
"16","AZN",2024-12-02,67.5299987792969,67.5400009155273,66.8300018310547,67.0400009155273,3685700,67.0400009155273
"17","TEAM",2024-12-02,263,267.609985351562,262.845001220703,265.880004882812,1144200,265.880004882812
"18","ADSK",2024-12-02,291.739990234375,297.940002441406,291.440002441406,296.649993896484,2073000,296.649993896484
"19","ADP",2024-12-02,307.670013427734,307.670013427734,304.549987792969,306.029998779297,1279300,306.029998779297
"20","BKR",2024-12-02,43.9000015258789,44.2200012207031,43.0800018310547,43.689998626709,3992200,43.689998626709
"21","BIIB",2024-12-02,160.160003662109,165.289993286133,160.160003662109,164.229995727539,1663600,164.229995727539
"22","BKNG",2024-12-02,5206.41015625,5233.18994140625,5185.0400390625,5224.27978515625,205900,5224.27978515625
"23","AVGO",2024-12-02,162.949996948242,168.380004882812,162.75,166.509994506836,21456600,166.509994506836
"24","CDNS",2024-12-02,306.190002441406,312.260009765625,304.850006103516,310.269989013672,1697700,310.269989013672
"25","CDW",2024-12-02,175.789993286133,181.110000610352,175.570007324219,180.619995117188,1617700,180.619995117188
"26","CHTR",2024-12-02,395.950012207031,397.739990234375,391.809997558594,394.429992675781,1194200,394.429992675781
"27","CTAS",2024-12-02,225.419998168945,225.789993286133,221.75,222.639999389648,1965300,222.639999389648
"28","CSCO",2024-12-02,59.25,59.7000007629395,59.1399993896484,59.4300003051758,15977400,59.4300003051758
"29","CCEP",2024-12-02,77.9000015258789,78.1999969482422,76.3499984741211,76.4000015258789,2273200,76.4000015258789
"30","CTSH",2024-12-02,80.1900024414062,81.0199966430664,79.9700012207031,80.8199996948242,2984000,80.8199996948242
"31","CMCSA",2024-12-02,43.0099983215332,43.310001373291,42.6800003051758,43.2900009155273,16253400,43.2900009155273
"32","CEG",2024-12-02,257,258.440002441406,249.509994506836,249.580001831055,1907500,249.580001831055
"33","CPRT",2024-12-02,63.3199996948242,63.3899993896484,61.9300003051758,62.0200004577637,4775600,62.0200004577637
"34","CSGP",2024-12-02,80.6999969482422,81.2300033569336,79.9199981689453,80.0699996948242,1550800,80.0699996948242
"35","COST",2024-12-02,971.359985351562,976.5,964.760009765625,975,1955100,975
"36","CRWD",2024-12-02,344.899993896484,354.339996337891,336.559997558594,346.799987792969,5450600,346.799987792969
"37","CSX",2024-12-02,36.5099983215332,36.5499992370605,35.7999992370605,36.3400001525879,12161300,36.3400001525879
"38","DDOG",2024-12-02,152.449996948242,153.479995727539,151.184997558594,152.880004882812,4307100,152.880004882812
"39","DXCM",2024-12-02,78.1900024414062,80.1800003051758,77.5,79.3099975585938,3277600,79.3099975585938
"40","FANG",2024-12-02,177.770004272461,178.279998779297,173.929992675781,175.830001831055,1719200,175.830001831055
"41","DASH",2024-12-02,179.990005493164,180.309997558594,175.839996337891,176.369995117188,2786800,176.369995117188
"42","EA",2024-12-02,164.449996948242,166.199996948242,163.389999389648,165.960006713867,1833600,165.960006713867
"43","EXC",2024-12-02,39.4799995422363,39.5400009155273,38.2900009155273,38.3699989318848,5681800,38.3699989318848
"44","FAST",2024-12-02,84.0500030517578,84.0999984741211,82.5899963378906,82.6699981689453,2573600,82.6699981689453
"45","FTNT",2024-12-02,95.3600006103516,97.1800003051758,94.9300003051758,95.3199996948242,4377800,95.3199996948242
"46","GEHC",2024-12-02,82.8899993896484,83.25,82.3899993896484,83.0800018310547,2247000,83.0800018310547
"47","GILD",2024-12-02,92.5299987792969,94.3600006103516,92.4899978637695,94.0199966430664,5023100,94.0199966430664
"48","GFS",2024-12-02,43.5299987792969,45.2700004577637,43.3400001525879,45.1199989318848,1456300,45.1199989318848
"49","HON",2024-12-02,233.190002441406,233.710006713867,229.809997558594,229.949996948242,3222000,229.949996948242
"50","IDXX",2024-12-02,424.940002441406,431.170013427734,423.100006103516,430.769989013672,711000,430.769989013672
"51","ILMN",2024-12-02,142.910003662109,145.369995117188,140.550003051758,145.149993896484,1524900,145.149993896484
